,site_code,lat,lng
144,RD051,37.9411351,-87.49391589999999
145,RD154,30.4935087,-91.25448500000002
146,RD172,38.90471,-94.5349729
147,RD171,30.5201335,-90.4977234
148,RD004,41.6278641,-88.44778889999999
149,RD164,40.4476314,-88.99180439999999
150,RD024,38.7475836,-89.68801069999999
151,RD056,42.4887502,-92.4562037
152,RD129,38.7605058,-90.106902
153,RD168,42.029113,-80.05865399999999
154,RD173,37.73865929999999,-89.2197183
155,RD095,30.5713557,-87.8947434
156,RD087,41.5508546,-87.4213504
157,RD099,42.9743988,-83.63032199999999
158,RD170,30.5851723,-90.9515433
159,RD181,35.097249,-92.419521
160,RD180,34.861729,-92.3997112
161,RD074,38.408772,-85.37359699999999
162,RD174,38.6930723,-90.009946
163,RD185,40.6194293,-79.1897254
164,RD103,42.66738369999999,-84.588129
165,RD179,34.785251,-92.2065865
166,RD182,43.050508,-88.2411954
167,RD183,43.021632,-88.20722789999999
168,RD184,30.49153789999999,-90.7487881
169,RD002,42.3733166,-89.03152329999999
170,RD156,34.6784928,-92.3490657
171,RD186,42.0229645,-93.7083923
172,RD187,34.960965,-92.4233642
173,RD190,39.6697082,-79.9105246
174,RD188,35.0559304,-92.4240418
175,RD189,30.2997111,-92.0309543
176,RD191,30.758301,-87.791281
177,RD178,41.2027842,-81.2978608
178,RD155,34.8330984,-92.1860699
179,RD159,34.8027804,-86.87815289999999
180,RD192,32.3052762,-90.171703
181,RD153,39.1525352,-96.6532469
182,RD149,40.3744844,-79.9950468
183,RD169,40.505174,-80.02294789999999
184,RD163,32.5445905,-92.2309888
185,RD088,34.1990872,-92.049078
186,RD132,38.4873312,-82.6890125
187,RD193,34.8923409,-92.3883239
188,RD038,41.8030649,-88.3285429
189,RD198,30.320994,-89.2638336
190,RD094,41.5384408,-87.6288184
191,RD196,39.6250382,-86.08479539999999
192,RD195,42.8400588,-85.5283723
193,RD200,43.0227297,-89.47069139999999
194,RD161,31.3088411,-92.4760056
195,RD061,37.28602559999999,-89.57972199999999
